// This snapshot file has been created by GetDiag
// Time: 3/20/2016 3:54:04 PM
// The currently logged on user: Operator
// Source: 10.8.113.138
// Total parameters (in sr2.csv): 19747
@GV.timers_task1.ticks,1458882358,DINT
@GV.timers_task1.min_time,13,DINT
@GV.timers_task1.max_time,414,DINT
@GV.timers_task1.last_time,48,DINT
@GV.timers_task1.avg_time,43,DINT
@GV.timers_task2.ticks,1458882358,DINT
@GV.timers_task2.min_time,403,DINT
@GV.timers_task2.max_time,1718,DINT
@GV.timers_task2.last_time,775,DINT
@GV.timers_task2.avg_time,562,DINT
@GV.timers_task3.ticks,1458882298,DINT
@GV.timers_task3.min_time,259,DINT
@GV.timers_task3.max_time,908,DINT
@GV.timers_task3.last_time,336,DINT
@GV.timers_task3.avg_time,381,DINT
@GV.Password,** ******** * ********* ***,STRING
@GV.Access_Level,operator,STRING
@GV.Level_Access,1,DINT
@GV.Redundant_Enable,0,USINT
@GV.Redundant_Active,1,USINT
@GV.Redundant_Primary,1,USINT
@GV.Redundant_Relay,0,USINT
@GV.Redundant_Force,0,USINT
@GV.MyStatus,0,DWORD
@GV.PeerStatus,1048576,DWORD
@GV.Ethernet_Front_IP,10.5.1.1,STRING
@GV.Ethernet_Front_NetMask,255.255.0.0,STRING
@GV.Ethernet_Front_Gateway,,STRING
@GV.Ramix_Top_IP,10.8.113.138,STRING
@GV.Ramix_Top_NetMask,255.255.0.0,STRING
@GV.Ramix_Top_Gateway,,STRING
@GV.Ramix_Bottom_IP,10.9.113.138,STRING
@GV.Ramix_Bottom_NetMask,255.255.0.0,STRING
@GV.Ramix_Bottom_Gateway,,STRING
@GV.UDPPortInterface,eth0,STRING
@GV.UDPPort,5501,DINT
@GV.UDPSetTimePort,20066,DINT
@GV.NTPServerAddress,10.8.113.150,STRING
@GV.NTPClockIsNotActive,0,DWORD
@GV.Project,12819_BOG_V,STRING
@GV.CompiledTime,June 29, 2013; GMT: 11:57:56 PM,STRING
@GV.TimeCompiled,1372550276,DINT
@GV.AccessCounter,0,DINT
@GV.AccessCommand,514,DINT
@GV.Product,1,DINT
@GV.Configuration.Status,,STRING
@GV.Configuration.Command,,STRING
@GV.Configuration.Command2,0,DINT
@GV.Configuration.SaveCounter,0,DINT
@GV.NOS_VMAJOR,1,INT
@GV.NOS_VMINOR,1,INT
@GV.NOS_SIZE,1200,INT
@GV.NOS_ROLL_INDEX,328600,DWORD
@GV.NOS_BUFF.0.HANDLE,187,INT
@GV.NOS_BUFF.0.STATE,1,INT
@GV.NOS_BUFF.0.INDEX,1,INT
@GV.NOS_BUFF.0.TIMESTAMP.Seconds,1458368793,DWORD
@GV.NOS_BUFF.0.TIMESTAMP.MicroSec,489700,DWORD
@GV.NOS_BUFF.1.HANDLE,187,INT
@GV.NOS_BUFF.1.STATE,3,INT
@GV.NOS_BUFF.1.INDEX,1,INT
@GV.NOS_BUFF.1.TIMESTAMP.Seconds,1458368795,DWORD
@GV.NOS_BUFF.1.TIMESTAMP.MicroSec,199712,DWORD
@GV.NOS_BUFF.2.HANDLE,187,INT
@GV.NOS_BUFF.2.STATE,1,INT
@GV.NOS_BUFF.2.INDEX,1,INT
@GV.NOS_BUFF.2.TIMESTAMP.Seconds,1458368816,DWORD
@GV.NOS_BUFF.2.TIMESTAMP.MicroSec,529953,DWORD
@GV.NOS_BUFF.3.HANDLE,187,INT
@GV.NOS_BUFF.3.STATE,3,INT
@GV.NOS_BUFF.3.INDEX,1,INT
@GV.NOS_BUFF.3.TIMESTAMP.Seconds,1458368821,DWORD
@GV.NOS_BUFF.3.TIMESTAMP.MicroSec,690002,DWORD
@GV.NOS_BUFF.4.HANDLE,187,INT
@GV.NOS_BUFF.4.STATE,1,INT
@GV.NOS_BUFF.4.INDEX,1,INT
@GV.NOS_BUFF.4.TIMESTAMP.Seconds,1458368888,DWORD
@GV.NOS_BUFF.4.TIMESTAMP.MicroSec,291263,DWORD
@GV.NOS_BUFF.5.HANDLE,187,INT
@GV.NOS_BUFF.5.STATE,3,INT
@GV.NOS_BUFF.5.INDEX,1,INT
@GV.NOS_BUFF.5.TIMESTAMP.Seconds,1458368896,DWORD
@GV.NOS_BUFF.5.TIMESTAMP.MicroSec,1440,DWORD
@GV.NOS_BUFF.6.HANDLE,187,INT
@GV.NOS_BUFF.6.STATE,1,INT
@GV.NOS_BUFF.6.INDEX,1,INT
@GV.NOS_BUFF.6.TIMESTAMP.Seconds,1458368958,DWORD
@GV.NOS_BUFF.6.TIMESTAMP.MicroSec,703309,DWORD
@GV.NOS_BUFF.7.HANDLE,187,INT
@GV.NOS_BUFF.7.STATE,3,INT
@GV.NOS_BUFF.7.INDEX,1,INT
@GV.NOS_BUFF.7.TIMESTAMP.Seconds,1458368966,DWORD
@GV.NOS_BUFF.7.TIMESTAMP.MicroSec,653567,DWORD
@GV.NOS_BUFF.8.HANDLE,187,INT
@GV.NOS_BUFF.8.STATE,1,INT
@GV.NOS_BUFF.8.INDEX,1,INT
@GV.NOS_BUFF.8.TIMESTAMP.Seconds,1458368983,DWORD
@GV.NOS_BUFF.8.TIMESTAMP.MicroSec,184150,DWORD
@GV.NOS_BUFF.9.HANDLE,187,INT
@GV.NOS_BUFF.9.STATE,3,INT
@GV.NOS_BUFF.9.INDEX,1,INT
@GV.NOS_BUFF.9.TIMESTAMP.Seconds,1458368987,DWORD
@GV.NOS_BUFF.9.TIMESTAMP.MicroSec,774325,DWORD
@GV.NOS_BUFF.10.HANDLE,187,INT
@GV.NOS_BUFF.10.STATE,1,INT
@GV.NOS_BUFF.10.INDEX,1,INT
@GV.NOS_BUFF.10.TIMESTAMP.Seconds,1458369007,DWORD
@GV.NOS_BUFF.10.TIMESTAMP.MicroSec,995061,DWORD
@GV.NOS_BUFF.11.HANDLE,187,INT
@GV.NOS_BUFF.11.STATE,3,INT
@GV.NOS_BUFF.11.INDEX,1,INT
@GV.NOS_BUFF.11.TIMESTAMP.Seconds,1458369016,DWORD
@GV.NOS_BUFF.11.TIMESTAMP.MicroSec,185386,DWORD
@GV.NOS_BUFF.12.HANDLE,187,INT
@GV.NOS_BUFF.12.STATE,1,INT
@GV.NOS_BUFF.12.INDEX,1,INT
@GV.NOS_BUFF.12.TIMESTAMP.Seconds,1458369026,DWORD
@GV.NOS_BUFF.12.TIMESTAMP.MicroSec,805825,DWORD
@GV.NOS_BUFF.13.HANDLE,187,INT
@GV.NOS_BUFF.13.STATE,3,INT
@GV.NOS_BUFF.13.INDEX,1,INT
@GV.NOS_BUFF.13.TIMESTAMP.Seconds,1458369032,DWORD
@GV.NOS_BUFF.13.TIMESTAMP.MicroSec,26116,DWORD
@GV.NOS_BUFF.14.HANDLE,187,INT
@GV.NOS_BUFF.14.STATE,1,INT
@GV.NOS_BUFF.14.INDEX,1,INT
@GV.NOS_BUFF.14.TIMESTAMP.Seconds,1458369048,DWORD
@GV.NOS_BUFF.14.TIMESTAMP.MicroSec,556692,DWORD
@GV.NOS_BUFF.15.HANDLE,187,INT
@GV.NOS_BUFF.15.STATE,3,INT
@GV.NOS_BUFF.15.INDEX,1,INT
@GV.NOS_BUFF.15.TIMESTAMP.Seconds,1458369053,DWORD
@GV.NOS_BUFF.15.TIMESTAMP.MicroSec,986933,DWORD
@GV.NOS_BUFF.16.HANDLE,187,INT
@GV.NOS_BUFF.16.STATE,1,INT
@GV.NOS_BUFF.16.INDEX,1,INT
@GV.NOS_BUFF.16.TIMESTAMP.Seconds,1458369087,DWORD
@GV.NOS_BUFF.16.TIMESTAMP.MicroSec,948408,DWORD
@GV.NOS_BUFF.17.HANDLE,187,INT
@GV.NOS_BUFF.17.STATE,3,INT
@GV.NOS_BUFF.17.INDEX,1,INT
@GV.NOS_BUFF.17.TIMESTAMP.Seconds,1458369108,DWORD
@GV.NOS_BUFF.17.TIMESTAMP.MicroSec,199338,DWORD
@GV.NOS_BUFF.18.HANDLE,187,INT
@GV.NOS_BUFF.18.STATE,1,INT
@GV.NOS_BUFF.18.INDEX,1,INT
@GV.NOS_BUFF.18.TIMESTAMP.Seconds,1458369113,DWORD
@GV.NOS_BUFF.18.TIMESTAMP.MicroSec,899591,DWORD
@GV.NOS_BUFF.19.HANDLE,187,INT
@GV.NOS_BUFF.19.STATE,3,INT
@GV.NOS_BUFF.19.INDEX,1,INT
@GV.NOS_BUFF.19.TIMESTAMP.Seconds,1458369121,DWORD
@GV.NOS_BUFF.19.TIMESTAMP.MicroSec,879960,DWORD
@GV.NOS_BUFF.20.HANDLE,187,INT
@GV.NOS_BUFF.20.STATE,1,INT
@GV.NOS_BUFF.20.INDEX,1,INT
@GV.NOS_BUFF.20.TIMESTAMP.Seconds,1458369126,DWORD
@GV.NOS_BUFF.20.TIMESTAMP.MicroSec,890209,DWORD
@GV.NOS_BUFF.21.HANDLE,187,INT
@GV.NOS_BUFF.21.STATE,3,INT
@GV.NOS_BUFF.21.INDEX,1,INT
@GV.NOS_BUFF.21.TIMESTAMP.Seconds,1458369142,DWORD
@GV.NOS_BUFF.21.TIMESTAMP.MicroSec,70943,DWORD
@GV.NOS_BUFF.22.HANDLE,187,INT
@GV.NOS_BUFF.22.STATE,1,INT
@GV.NOS_BUFF.22.INDEX,1,INT
@GV.NOS_BUFF.22.TIMESTAMP.Seconds,1458369154,DWORD
@GV.NOS_BUFF.22.TIMESTAMP.MicroSec,941597,DWORD
@GV.NOS_BUFF.23.HANDLE,187,INT
@GV.NOS_BUFF.23.STATE,3,INT
@GV.NOS_BUFF.23.INDEX,1,INT
@GV.NOS_BUFF.23.TIMESTAMP.Seconds,1458369161,DWORD
@GV.NOS_BUFF.23.TIMESTAMP.MicroSec,241866,DWORD
@GV.NOS_BUFF.24.HANDLE,187,INT
@GV.NOS_BUFF.24.STATE,1,INT
@GV.NOS_BUFF.24.INDEX,1,INT
@GV.NOS_BUFF.24.TIMESTAMP.Seconds,1458369174,DWORD
@GV.NOS_BUFF.24.TIMESTAMP.MicroSec,772546,DWORD
@GV.NOS_BUFF.25.HANDLE,187,INT
@GV.NOS_BUFF.25.STATE,3,INT
@GV.NOS_BUFF.25.INDEX,1,INT
@GV.NOS_BUFF.25.TIMESTAMP.Seconds,1458369180,DWORD
@GV.NOS_BUFF.25.TIMESTAMP.MicroSec,922853,DWORD
@GV.NOS_BUFF.26.HANDLE,187,INT
@GV.NOS_BUFF.26.STATE,1,INT
@GV.NOS_BUFF.26.INDEX,1,INT
@GV.NOS_BUFF.26.TIMESTAMP.Seconds,1458369185,DWORD
@GV.NOS_BUFF.26.TIMESTAMP.MicroSec,933091,DWORD
@GV.NOS_BUFF.27.HANDLE,187,INT
@GV.NOS_BUFF.27.STATE,3,INT
@GV.NOS_BUFF.27.INDEX,1,INT
@GV.NOS_BUFF.27.TIMESTAMP.Seconds,1458369189,DWORD
@GV.NOS_BUFF.27.TIMESTAMP.MicroSec,563260,DWORD
@GV.NOS_BUFF.28.HANDLE,187,INT
@GV.NOS_BUFF.28.STATE,1,INT
@GV.NOS_BUFF.28.INDEX,1,INT
@GV.NOS_BUFF.28.TIMESTAMP.Seconds,1458369203,DWORD
@GV.NOS_BUFF.28.TIMESTAMP.MicroSec,964017,DWORD
@GV.NOS_BUFF.29.HANDLE,187,INT
@GV.NOS_BUFF.29.STATE,3,INT
@GV.NOS_BUFF.29.INDEX,1,INT
@GV.NOS_BUFF.29.TIMESTAMP.Seconds,1458369227,DWORD
@GV.NOS_BUFF.29.TIMESTAMP.MicroSec,485198,DWORD
@GV.NOS_BUFF.30.HANDLE,187,INT
@GV.NOS_BUFF.30.STATE,1,INT
@GV.NOS_BUFF.30.INDEX,1,INT
@GV.NOS_BUFF.30.TIMESTAMP.Seconds,1458369237,DWORD
@GV.NOS_BUFF.30.TIMESTAMP.MicroSec,595737,DWORD
@GV.NOS_BUFF.31.HANDLE,187,INT
@GV.NOS_BUFF.31.STATE,3,INT
@GV.NOS_BUFF.31.INDEX,1,INT
@GV.NOS_BUFF.31.TIMESTAMP.Seconds,1458369242,DWORD
@GV.NOS_BUFF.31.TIMESTAMP.MicroSec,666004,DWORD
@GV.NOS_BUFF.32.HANDLE,187,INT
@GV.NOS_BUFF.32.STATE,1,INT
@GV.NOS_BUFF.32.INDEX,1,INT
@GV.NOS_BUFF.32.TIMESTAMP.Seconds,1458369251,DWORD
@GV.NOS_BUFF.32.TIMESTAMP.MicroSec,306438,DWORD
@GV.NOS_BUFF.33.HANDLE,187,INT
@GV.NOS_BUFF.33.STATE,3,INT
@GV.NOS_BUFF.33.INDEX,1,INT
@GV.NOS_BUFF.33.TIMESTAMP.Seconds,1458369276,DWORD
@GV.NOS_BUFF.33.TIMESTAMP.MicroSec,327566,DWORD
@GV.NOS_BUFF.34.HANDLE,187,INT
@GV.NOS_BUFF.34.STATE,1,INT
@GV.NOS_BUFF.34.INDEX,1,INT
@GV.NOS_BUFF.34.TIMESTAMP.Seconds,1458369286,DWORD
@GV.NOS_BUFF.34.TIMESTAMP.MicroSec,497961,DWORD
@GV.NOS_BUFF.35.HANDLE,187,INT
@GV.NOS_BUFF.35.STATE,3,INT
